City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Morehead,US,2021-06-06 02:57:59,37.2711,-87.1764,73.83,86,1,0.0
145,Konya,TR,2021-06-06 02:57:59,38.1667,32.5,47.39,67,1,6.85
146,Cockburn Town,TC,2021-06-06 02:57:02,21.4612,-71.1419,80.04,83,0,22.88
147,Hofn,IS,2021-06-06 02:57:59,64.2539,-15.2082,46.65,90,100,6.24
148,Srivardhan,IN,2021-06-06 02:58:00,18.0333,73.0167,82.62,73,94,3.67
149,Watsa,CD,2021-06-06 02:58:00,3.0372,29.5355,62.08,98,67,2.17
150,Port Alfred,ZA,2021-06-06 02:58:00,-33.5906,26.891,56.5,56,0,11.45
151,Palmer,US,2021-06-06 02:57:55,42.1584,-72.3287,77.45,78,46,5.28
152,Barbate,ES,2021-06-06 02:58:01,36.1924,-5.9219,67.93,90,0,6.55
153,Cabo San Lucas,MX,2021-06-06 02:55:36,22.8909,-109.9124,91.81,63,1,15.17
154,Avarua,CK,2021-06-06 02:58:01,-21.2078,-159.775,75.25,69,40,8.05
155,Lata,PT,2021-06-06 02:53:27,40.1629,-8.3327,59.81,89,0,1.21
156,Bambous Virieux,MU,2021-06-06 02:55:06,-20.3428,57.7575,66.45,94,20,2.93
157,Deputatskiy,RU,2021-06-06 02:56:50,69.3,139.9,38.64,63,94,11.86
158,Lagoa,PT,2021-06-06 02:58:02,39.05,-27.9833,62.98,88,99,9.95
159,Marawi,PH,2021-06-06 02:58:02,7.9986,124.2928,74.64,83,98,4.54
160,Jardim,BR,2021-06-06 02:58:02,-21.4803,-56.1381,75.36,36,100,1.7
161,Verkh-Suetka,RU,2021-06-06 02:58:03,53.3,80.05,63.55,54,68,11.18
162,Tautira,PF,2021-06-06 02:58:03,-17.7333,-149.15,84.22,79,12,13.4
163,Isangel,VU,2021-06-06 02:58:03,-19.55,169.2667,77.11,83,90,13.85
164,Darnah,LY,2021-06-06 02:58:03,32.767,22.6367,68.29,73,0,13.58
165,Saint-Philippe,RE,2021-06-06 02:58:04,-21.3585,55.7679,72.48,83,57,2.13
166,Champerico,GT,2021-06-06 02:58:04,14.3,-91.9167,84.34,70,60,6.64
167,Kismayo,SO,2021-06-06 02:58:05,-0.3582,42.5454,77.9,81,87,14.81
168,Barranca,PE,2021-06-06 02:58:05,-10.75,-77.7667,63.07,84,39,8.43
169,Altamont,US,2021-06-06 02:58:05,42.2068,-121.7372,53.42,43,9,11.83
170,Namibe,AO,2021-06-06 02:58:05,-15.1961,12.1522,71.49,55,46,2.44
171,Honiara,SB,2021-06-06 02:56:14,-9.4333,159.95,84.13,75,91,4.03
172,Lorengau,PG,2021-06-06 02:58:06,-2.0226,147.2712,80.11,84,100,9.62
173,Coihaique,CL,2021-06-06 02:58:06,-45.5752,-72.0662,39.15,81,40,5.75
174,Riyadh,SA,2021-06-06 02:57:40,24.6877,46.7219,93.34,17,0,0.0
175,Sao Gabriel Da Cachoeira,BR,2021-06-06 02:58:07,-0.1303,-67.0892,73.22,98,90,1.52
176,Westport,US,2021-06-06 02:58:07,41.1415,-73.3579,84.34,69,49,3.0
177,Koungou,YT,2021-06-06 02:58:07,-12.7336,45.2042,78.51,78,75,19.42
178,Abu Kamal,SY,2021-06-06 02:58:07,34.4506,40.9171,75.67,34,1,12.28
179,Saldanha,ZA,2021-06-06 02:56:25,-33.0117,17.9442,50.05,34,36,19.75
180,Benguela,AO,2021-06-06 02:58:08,-12.5763,13.4055,71.96,79,65,1.57
181,Otane,NZ,2021-06-06 02:58:08,-39.8833,176.6333,60.01,72,100,6.42
182,Hisor,TJ,2021-06-06 02:58:08,38.525,68.5512,82.15,20,0,4.05
183,Kodiak,US,2021-06-06 02:58:09,57.79,-152.4072,53.13,62,76,1.97
184,Orapa,BW,2021-06-06 02:58:09,-21.2833,25.3667,46.8,74,0,13.56
185,Nossa Senhora Da Gloria,BR,2021-06-06 02:55:22,-10.2183,-37.4203,69.57,90,88,4.43
186,Matagami,CA,2021-06-06 02:58:09,49.7502,-77.6328,48.31,87,20,2.73
187,Fene,ES,2021-06-06 02:58:10,43.45,-8.15,58.48,94,24,4.32
188,Axim,GH,2021-06-06 02:58:10,4.8699,-2.2405,77.05,88,54,4.43
189,Ribeira Grande,PT,2021-06-06 02:58:10,38.5167,-28.7,64.36,87,100,9.01
190,Urumqi,CN,2021-06-06 02:58:10,43.801,87.6005,54.55,62,0,9.42
191,Juan Lacaze,UY,2021-06-06 02:58:11,-34.4342,-57.4381,49.12,79,0,9.8
192,Roebourne,AU,2021-06-06 02:58:11,-20.7833,117.1333,78.66,45,67,16.17
193,Burriana,ES,2021-06-06 02:58:11,39.889,-0.085,65.82,84,100,1.97
194,Praia,CV,2021-06-06 02:58:12,14.9215,-23.5087,73.94,73,0,19.57
195,Tasiilaq,GL,2021-06-06 02:58:12,65.6145,-37.6368,36.7,98,100,2.98
196,Cap Malheureux,MU,2021-06-06 02:58:12,-19.9842,57.6142,66.69,73,55,1.39
197,Changzhou,CN,2021-06-06 02:58:12,31.7833,119.9667,92.97,39,0,5.37
198,Haines Junction,CA,2021-06-06 02:58:13,60.7522,-137.5108,53.55,66,97,6.91
199,Gilgit,PK,2021-06-06 02:58:13,35.9221,74.3087,79.25,21,0,1.52
200,Port Blair,IN,2021-06-06 02:57:44,11.6667,92.75,84.24,89,75,9.22
201,Gwadar,PK,2021-06-06 02:58:13,25.1216,62.3254,84.33,75,76,10.69
202,Moba,CN,2021-06-06 02:58:14,33.2288,105.0179,67.64,62,100,5.66
203,Vila Franca Do Campo,PT,2021-06-06 02:58:14,37.7167,-25.4333,59.41,87,44,0.87
204,Arlit,NE,2021-06-06 02:55:08,18.7369,7.3853,87.28,16,34,2.39
205,Hami,CN,2021-06-06 02:58:14,42.8,93.45,79.74,20,79,5.66
206,Cerchezu,RO,2021-06-06 02:58:14,43.8167,28.1,60.55,86,31,6.89
207,Arman,RU,2021-06-06 02:58:15,59.7,150.1667,42.89,89,100,5.48
208,Adrar,MR,2021-06-06 02:58:15,20.5022,-10.0711,87.78,12,11,21.32
