City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Megion,RU,61.0296,76.1136,57.22,51,100,8.14,light rain
210,Port-Gentil,GA,-0.7193,8.7815,80.56,83,75,11.5,light rain
211,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,82,37,1.86,scattered clouds
212,Khatanga,RU,71.9667,102.5,37.78,73,100,11.52,light rain
213,Roma,US,43.2128,-75.4557,72.88,85,51,1.83,broken clouds
214,Pisco,PE,-13.7,-76.2167,64.45,82,90,4.61,overcast clouds
215,Iqaluit,CA,63.7506,-68.5145,31.73,93,90,1.99,light snow
216,Hanmer Springs,NZ,-42.5167,172.8167,49.33,97,100,1.45,overcast clouds
217,Praya,CV,14.9215,-23.5087,75.74,53,0,26.46,clear sky
218,Sistranda,NO,63.7256,8.834,55.36,81,86,5.46,overcast clouds
219,Sao Filipe,CV,14.8961,-24.4956,75.9,67,95,11.36,overcast clouds
220,Coihaique,CL,-45.5752,-72.0662,37.35,81,40,8.05,scattered clouds
221,Kilrush,IE,52.6397,-9.4833,55.15,72,6,3.15,clear sky
222,Klaksvik,FO,62.2266,-6.589,49.12,91,17,13.06,few clouds
223,Evensk,RU,61.95,159.2333,48.81,79,100,1.03,overcast clouds
224,Puerto Leguizamo,CO,-0.1934,-74.7819,70.29,99,86,0.49,overcast clouds
225,Lokosovo,RU,61.1333,74.8167,64.98,56,100,10.51,overcast clouds
226,Cayenne,GF,4.9333,-52.3333,74.08,91,90,2.44,mist
227,Fairbanks,US,64.8378,-147.7164,62.6,60,90,10.36,light rain
228,Kandrian,PG,-6.2167,149.55,79.25,88,71,9.46,light rain
229,Umm Lajj,SA,25.0213,37.2685,86.16,55,0,13.94,clear sky
230,Wanning,CN,18.8003,110.3967,83.57,81,99,5.91,light rain
231,Te Anau,NZ,-45.4167,167.7167,39.4,92,24,1.23,few clouds
232,San Patricio,US,28.017,-97.5169,80.47,92,0,5.86,clear sky
233,Kysyl-Syr,RU,63.8986,122.7617,62.85,33,89,3.94,overcast clouds
234,Cidreira,BR,-30.1811,-50.2056,63.12,94,100,7.38,moderate rain
235,Diplo,PK,24.4667,69.584,99.01,37,0,14.83,clear sky
236,Opuwo,NA,-18.0607,13.84,63.21,28,0,19.69,clear sky
237,Dubrovytsya,UA,51.5744,26.565,69.48,54,83,6.91,broken clouds
238,Otavi,NA,-19.65,17.3333,59.67,32,0,17.07,clear sky
239,Longyearbyen,SJ,78.2186,15.6401,31.91,90,39,2.17,scattered clouds
240,Gasa,PS,31.5,34.4667,78.78,49,0,11.12,clear sky
241,Mantua,IT,45.1667,10.7833,76.82,73,5,3.0,clear sky
242,Mehamn,NO,71.0357,27.8492,41.77,72,16,16.89,few clouds
243,Kamaishi,JP,39.2667,141.8833,81.55,75,100,9.35,overcast clouds
244,Talnakh,RU,69.4865,88.3972,33.46,95,100,6.26,light snow
245,Lompoc,US,34.6391,-120.4579,55.71,80,90,6.35,overcast clouds
246,Farkhor,TJ,37.4922,69.4036,106.68,9,0,1.41,clear sky
247,Alta Floresta,BR,-9.8756,-56.0861,69.84,71,100,2.57,moderate rain
248,Prince George,CA,53.9166,-122.753,45.25,74,1,1.01,clear sky
249,Amnat Charoen,TH,15.9167,104.75,90.72,52,100,8.28,overcast clouds
250,Oranjemund,NA,-28.55,16.4333,69.6,30,0,25.9,clear sky
251,Humaita,BR,-7.5061,-63.0208,74.41,91,100,1.74,overcast clouds
252,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,49.86,89,86,6.2,overcast clouds
253,Marsh Harbour,BS,26.5412,-77.0636,78.39,83,100,16.89,overcast clouds
254,Puerto Rico,AR,-26.796,-55.024,64.54,96,100,1.77,moderate rain
255,Lumberton,US,34.6182,-79.0086,74.34,95,100,4.5,overcast clouds
256,Inirida,CO,3.8653,-67.9239,72.75,99,98,1.83,overcast clouds
257,Jevargi,IN,17.0167,76.7667,90.05,46,99,9.04,overcast clouds
258,Bossangoa,CF,6.4926,17.4552,73.67,79,100,7.23,overcast clouds
259,Northeim,DE,51.7,10.0,63.37,96,100,3.0,overcast clouds
260,Houma,US,29.5958,-90.7195,78.8,91,90,10.36,overcast clouds
261,Chachoengsao,TH,13.6167,101.4167,93.92,50,100,11.97,light rain
262,Axim,GH,4.8699,-2.2405,80.46,78,60,3.13,light rain
263,Koungou,YT,-12.7336,45.2042,83.91,61,0,17.22,clear sky
264,Kure,JP,34.2333,132.5667,76.15,74,100,7.63,overcast clouds
265,Victoria,HK,22.2855,114.1577,89.96,65,23,1.99,few clouds
266,Kiunga,PG,-6.1219,141.2906,78.82,89,99,2.26,overcast clouds
267,Tual,ID,-5.6667,132.75,81.12,79,61,18.41,broken clouds
268,Ponta Delgada,PT,37.7333,-25.6667,63.32,88,20,1.14,few clouds
269,Nanchang,CN,28.6833,115.8833,87.06,46,0,6.35,light rain
270,Jalu,LY,29.0331,21.5482,80.29,28,0,9.1,clear sky
271,Hervey Bay,AU,-25.2986,152.8535,68.11,69,0,1.01,clear sky
272,Touros,BR,-5.1989,-35.4608,74.3,91,21,11.39,few clouds
273,Maragogi,BR,-9.0122,-35.2225,75.25,86,40,9.17,scattered clouds
274,Lufilufi,WS,-13.8745,-171.5986,74.98,75,41,5.46,light rain
275,Bengkulu,ID,-3.8004,102.2655,83.44,70,13,4.7,few clouds
276,Kapit,MY,2.0167,112.9333,84.0,80,94,1.43,overcast clouds
277,Plettenberg Bay,ZA,-34.0527,23.3716,69.55,24,0,8.68,clear sky
278,Port Blair,IN,11.6667,92.75,89.64,70,75,11.5,broken clouds
279,Williston,US,48.147,-103.618,66.94,66,73,4.0,broken clouds
280,Slave Lake,CA,55.2834,-114.769,57.18,47,90,13.8,overcast clouds
281,Kavaratti,IN,10.5669,72.642,83.19,74,52,12.08,broken clouds
282,Oliver,CA,49.1831,-119.5524,57.11,30,13,3.15,few clouds
283,Batagay-Alyta,RU,67.8006,130.4114,48.56,58,87,7.92,light rain
284,Tagusao,PH,9.1924,117.8141,85.32,73,98,7.02,moderate rain
285,Awjilah,LY,29.1081,21.2869,80.33,28,0,9.37,clear sky
286,Ekibastuz,KZ,51.6667,75.3667,71.15,28,0,4.41,clear sky
287,Sorland,NO,67.667,12.6934,50.88,80,8,12.97,clear sky
288,Iralaya,HN,15.0,-83.2333,78.94,85,100,9.31,overcast clouds
289,Praia,CV,14.9215,-23.5087,75.74,53,0,26.46,clear sky
290,Moron,AR,-34.6534,-58.6198,47.95,73,74,4.52,broken clouds
291,Sabang,ID,5.8933,95.3214,83.93,75,100,22.08,overcast clouds
292,Khandbari,NP,27.3747,87.2039,83.03,60,74,4.88,broken clouds
293,Ust-Omchug,RU,61.15,149.6333,47.79,68,92,9.06,overcast clouds
294,Halmstad,SE,56.6745,12.8568,70.0,56,88,2.3,overcast clouds
295,Westport,US,41.1415,-73.3579,77.76,82,1,5.57,clear sky
296,Kaputa,ZM,-8.4689,29.6619,71.42,62,64,9.57,broken clouds
297,Ketchikan,US,55.3422,-131.6461,48.67,93,90,8.05,mist
298,Dwarka,IN,22.2394,68.9678,88.99,59,6,14.0,clear sky
299,Trincomalee,LK,8.5711,81.2335,91.06,59,99,8.28,overcast clouds
300,Amapa,BR,1.0,-52.0,69.28,99,37,0.72,scattered clouds
301,Kolpny,RU,52.2282,37.0368,55.81,95,100,8.61,moderate rain
302,La Crosse,US,43.8014,-91.2396,78.71,62,0,4.0,clear sky
303,Hobyo,SO,5.3505,48.5268,85.51,62,4,21.41,clear sky
304,Point Pedro,LK,9.8167,80.2333,86.25,70,100,13.56,overcast clouds
305,Anadyr,RU,64.75,177.4833,45.1,75,0,15.01,clear sky
306,Yiyang,CN,28.5892,112.3283,89.46,52,47,8.28,scattered clouds
307,San Ramon,US,37.7799,-121.978,61.03,76,1,4.0,clear sky
308,Mount Vernon,US,40.9126,-73.8371,78.06,72,88,1.99,overcast clouds
309,Sept-Iles,CA,50.2001,-66.3821,45.05,94,20,4.61,few clouds
310,Wagar,SD,16.1525,36.2032,101.28,21,99,12.41,overcast clouds
311,Faanui,PF,-16.4833,-151.75,80.78,73,10,9.78,clear sky
312,Yerbogachen,RU,61.2767,108.0108,62.6,29,100,13.47,overcast clouds
313,Kaniama,CD,-7.5667,24.1833,78.85,42,90,9.64,overcast clouds
314,Kahului,US,20.8947,-156.47,76.84,74,1,13.8,clear sky
315,Bintulu,MY,3.1667,113.0333,88.21,74,40,5.75,scattered clouds
316,La Victoria,VE,10.2184,-67.3302,69.4,95,100,4.38,overcast clouds
317,Kismayo,SO,-0.3582,42.5454,83.86,65,28,18.81,scattered clouds
318,Ibatiba,BR,-20.2339,-41.5106,57.97,96,33,0.87,scattered clouds
319,Gladstone,AU,-23.85,151.25,67.93,40,0,2.3,clear sky
320,Severo-Kurilsk,RU,50.6789,156.125,44.94,92,56,10.36,broken clouds
321,Ust-Maya,RU,60.4167,134.5333,77.61,43,100,5.17,overcast clouds
322,Vestmannaeyjar,IS,63.4427,-20.2734,46.36,85,100,20.02,overcast clouds
323,Caconda,AO,-13.7333,15.0667,65.8,28,57,10.11,broken clouds
324,Marathon,US,44.9,-89.7668,74.08,64,1,9.01,clear sky
325,Ormara,PK,25.2088,64.6357,85.06,70,45,12.03,scattered clouds
326,Souillac,MU,-20.5167,57.5167,79.18,73,75,5.5,broken clouds
327,Hami,CN,42.8,93.45,72.32,32,100,13.82,overcast clouds
328,Luang Prabang,LA,19.8856,102.1347,86.95,72,98,2.28,overcast clouds
329,Belvedere Marittimo,IT,39.6179,15.8617,87.17,55,71,4.54,broken clouds
330,Eureka,US,40.8021,-124.1637,52.2,76,100,8.57,overcast clouds
331,Harper,LR,4.375,-7.7169,77.7,88,98,0.94,moderate rain
332,Bosaso,SO,11.2842,49.1816,102.18,29,0,17.27,clear sky
333,Prado,BR,-17.3411,-39.2208,72.25,88,79,5.01,broken clouds
334,Rocha,UY,-34.4833,-54.3333,46.33,94,2,4.54,clear sky
335,Misratah,LY,32.3754,15.0925,76.35,46,6,9.55,clear sky
336,Uvira,CD,-3.4067,29.1458,82.53,62,80,2.55,broken clouds
337,Lukovetskiy,RU,64.2956,41.9211,53.58,47,93,8.03,overcast clouds
338,Saldanha,ZA,-33.0117,17.9442,53.65,34,9,24.74,clear sky
339,Porterville,US,36.0652,-119.0168,81.75,49,1,4.61,clear sky
340,Rafaela,AR,-31.2503,-61.4867,48.06,64,12,4.0,few clouds
341,Disna,BY,55.568,28.1971,71.4,52,17,8.37,few clouds
342,Sivas,TR,39.7916,37.0019,56.28,50,17,10.22,few clouds
343,Solwezi,ZM,-12.1688,26.3894,64.76,50,46,9.55,scattered clouds
344,Nantucket,US,41.2835,-70.0995,70.97,88,49,12.68,scattered clouds
345,Kuytun,RU,54.3419,101.5036,57.99,45,100,13.4,overcast clouds
346,Kitimat,CA,54.0524,-128.6534,47.91,96,100,3.09,light rain
